course_name,description,duration_weeks
Agile Advanced with Scrum,"В това обучение курсистите ще задълбочат знанията си за различните елементи и приложението на Agile методологията и работа със Scrum процесна рамка. Курсът ще влезне в детайли за различните роли в екипа и тяхното вътрешно и външно взаимодействие. Ще се разгледат различните начини за оценка на прогрес и продукти, които произвежда един Scrum екип. Допълнително курсистите ще разберат как да оценяват рисковете и как да управляват различните параметри така, че екипът да работи максимално ефективно. Основен фокус ще се постави и върху практическото приложение на определени Agile инструменти използвани широко днес, и директното използване на усвоените чрез теорията похвати. Освен всичко това участниците ще разберат как може да се прилага Agile извън средата на софтуерна разработка, както и рамки за управление на мащабни Agile проекти.",4
Agile Essentials with Scrum,"Целта на курса е да запознае аудиторията с основните ценности и принципи на Agile методологията и практическото им приложение в областта на разработката на софтуер. По време на обучението ще се разгледат различните видове методологии и тяхното приложение, както и разликите с традиционните модели за управление на проекти. Курсът ще се фокусира по-конкретно върху Scrum рамката, която се използва в 80% от Agile екипите в световен мащаб. Ще се представят различните роли, фази и събития по време на работа и връзката между тях за изграждане на стабилен и успешен екип. Не на последно място курсистите ще разберат как се измерва прогрес и как се води успешно такъв екип.",4
Agile Fundamentals with Scrum,"Целта на този курс е да запознае аудиторията с най-широко разпространената процесна рамка от семейството на Agile - Scrum. Ще разгледаме всички компоненти на процесната рамка Scrum – роли, артефакти, събития. Ще обърнем особено внимание на ролите на Product Owner и Scrum Master, които дори и след повече от 20 години все още не са разбирани добре. Ще се спрем и на основните събития в Scrum – планирането и провеждането на спринта и дневната среща, ревюто и ретроспекцията. Накрая ще разгледаме най-често срещаните грешки, водещи до провал на Scrum в даден проект, екип или организация.",7
Agile Project Management,"За кого е подходящ модулът? Модулът е подходящ за хора, участвали в софтуерен проект, не непременно като програмисти и независимо от опита им с Agile разработката на софтуер, които очакват или желаят да започнат работа по проект. Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2. Как мога да се запиша? За да се запишете, кликнете ТУК или бутона ""ЗАПИШИ СЕ"" и следвайте стъпките. След успешно заплащане на таксата, Вие ще бъдете записани за обучението. Докога мога да се запиша и кога стартира модулът? Записването в модулa е отворено до 15 март.&nbsp;Обучението стартира на 17 март 2026&nbsp;г. Занятията се провеждат изцяло онлайн, като:&bull; Agile Essentials with Scrum - март 2026 -&nbsp;стартира на 17 март 2026 г.; &bull; Agile Advanced with Scrum - април 2026&nbsp;-&nbsp;стартира на 14 април 2026 г.Как и къде ще се провеждат занятията? Можете да се обучавате онлайн в реално време, като занятията ще се провеждат в Microsoft Teams/Zoom.Какъв документ ще получа след завършване на модула? Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Колко струва обучението в модула и какво включва? Онлайн410.72 лв. Онлайн обучение в реално време Доживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материалДостъп до 2 затворени Community групи с курсистите Явяване на изпити (редовни), сертификати и удостоверениeSoftUni ви дава 100% гаранция за качеството на този модул. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина обучението не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до второто занятие на първия курс (до 19 март).",8
AI Agents and Workflows for Developers,"""AI Agents and Workflows for Developers"" е практически курс за проектиране и внедряване на агенти и оркестрации в реални приложения: n8n за визуални автоматизации и интеграции, LangChain Agents & Tools за инструментализирани агенти, Memory & Human-in-the-Loop за контрол на състояние и одобрения, и LangGraph за надеждни multi-agent системи. Акцентът е върху надеждност, наблюдаемост и безопасност: маршрутизация и ретрита, таймаути, guardrails, логове/метрики и cost tracking, както и HITL процеси за качество. Всяка тема е с упражнение, следва Exam Preparation, а финалът е Workshop: Real Life Project с end-to-end изграждане на агентна архитектура. Резултат: устойчиви, разширяеми и контролируеми AI workflows в продукционна среда.",6
AI and Machine Learning,"За кого е подходяща програмата? Модулът е подходящ за хора с базов опит в програмирането (препоръчително е с език Python, които могат да се придобият и с курса Python Introduction for Data Science), които желаят да развият познанията си в областите от приложната математика и изкуствения интелект, както и за всички, които желаят да се развиват в машинното обучение и алгоритмичното обработване на масиви от данни, моделирани с подобаващо силни модели. Нужното ниво на английски език, необходимо за модула, трябва да отговоря на B2.Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 3 февруари. Обучението стартира на 5 февруари 2026 г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull; Math Concepts for Developers - февруари 2026 - стартира на 5 февруари, със занятия в понеделник и четвъртък;&bull; Data Science - март 2026 - стартира на 19 март, със занятия във вторник и четвъртък;&bull; Machine Learning - май 2026 - стартира на 7 май, със занятия във вторник и четвъртък;&bull; Deep Learning - юли 2026 - стартира на 2 юли, със занятия във вторник и четвъртък. Колко струва обучението в програмата? Онлайн890 лв. 2 х 470 лв./ &euro;240.31* Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 4 затворени Facebook групи с курсистиSoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 12 февруари). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
AI and Machine Learning with Python,"За кого е подходяща програмата? Програмата е подходяща за хора без опит в програмирането, които желаят да развият познанията си в областите от приложната математика и изкуствения интелект, както и за всички, които желаят да се развиват в машинното обучение и алгоритмичното обработване на масиви от данни, моделирани с подобаващо силни модели. Нужното ниво на английски език, необходимо за програмата, трябва да отговоря на B2.Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 3 януари. Обучението стартира на 5 януари 2026 г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull; Python Introduction for Data Science - януари 2026&nbsp;- стартира на&nbsp;5 януари, със занятия в понеделник, вторник, четвъртък и петък;&bull;&nbsp;Math Concepts for Developers - февруари 2026&nbsp;- стартира на&nbsp;5 февруари, със занятия в понеделник и четвъртък;&bull;&nbsp;Data Science - март 2026&nbsp;- стартира на&nbsp;19 март, със занятия във вторник и четвъртък;&bull; Machine Learning - май 2026 - стартира на 7 май, със занятия във вторник и четвъртък;&bull; Deep Learning - юли 2026 - стартира на 2 юли, със занятия във вторник и четвъртък. Колко струва обучението в програмата? Онлайн1020 лв. 2 х 540 лв./ &euro;276.10* Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 5 затворени Community групи с курсисти ВАЖНО: Имате възможност да заплатите цялата такса от 1020 лева / &euro;521.52 или да го направите на 2 равни вноски по 540 лева / &euro;276.10 (общо 1020 лева / &euro;521.52). Срокът за плащане на II-рата вноска от таксата е 5 февруари 2026&nbsp;г. SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 8 януари). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
AI First-Programming,"За кого е подходяща програмата? Програмата ""AI First-Programming"", включваща трите курса, е всеобхватно обучение подходящо за:&nbsp; Предприемачи, които искат сами да изграждат дигитални продукти и вътрешни системи за бизнеса си, без нужда от скъпи екипи или агенции;&nbsp; Мениджъри и специалисти, които търсят практичен начин да автоматизират процеси и да създават полезни уеб инструменти с помощта на AI;&nbsp; Ученици и студенти, които желаят да стартират в уеб разработката с модерен и приложим подход, изпреварващ учебните програми;&nbsp; Начинаещи програмисти и хора в кариерен преход, които търсят бърз и структуриран вход в съвременните технологии и облачни платформи;&nbsp; Програмисти с опит, които искат да се запознаят с нови AI-подходи за разработка и да разширят набора си от инструменти и практики. Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 26 май. Обучението стартира на 28 май 2026&nbsp;г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull;&nbsp;Introduction to Programming with AI - май 2026, стартира на 28 май 2026 г.;&bull;&nbsp;Programming Fundamentals with AI - август 2026, стартира на 6 август 2026 г.;&bull;&nbsp;Software Technologies with AI - септември 2026, стартира на 24 септември 2026 г.Колко струва обучението в програмата? Онлайнлв. Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 3 затворени Community групи с курсисти SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 4 юни). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
AI for Developers,"За кого е подходяща програмата? Програмата ""AI for Developers"", включваща трите курса, е всеобхватно обучение подходящо за:&nbsp; Амбициозни разработчици, които искат цялостна трансформация на своя подход към разработката на софтуер;&nbsp; Технически специалисти, стремящи се към специализация в областта на AI разработката;&nbsp; Екипи за разработка, които преминават към AI-базирани работни процеси и продукти;&nbsp; Софтуерни компании, инвестиращи в обучение на своите екипи за бъдещето на софтуерната разработка;&nbsp; Предприемачи в техническата сфера, разработващи иновативни продукти с AI компоненти;&nbsp; Кариерно ориентирани разработчици, които искат да се позиционират като специалисти по AI разработка.Програмата предоставя пълен път от начинаещ в AI до уверeн практик, способен да внедрява реални решения. Той е идеален за професионалисти, които искат да бъдат на върха на технологичната вълна през следващите години. Докога мога да се запиша и кога стартира програмата? Записването в програмата е отворено до 16 май. Обучението стартира на 18 май 2026&nbsp;г. Как мога да се запиша? За да се запишете, кликнете ТУК и следвайте стъпките. Записването се осъществява само след успешно извършено плащане. Кога и къде се провеждат занятията? Определени сесии от модула се предоставят под формата на предварително записани видео уроци, които се качват в платформата по график, заедно с други учебни ресурси. Друга част от занятията се провеждат онлайн в реално време, като курсистите имат възможност да задават въпроси на преподавателя. Веднага след всяко занятие проведено в реално време, получавате достъп до записа и учебните ресурси. Модулът включва следните курсове:&bull;&nbsp;AI-Assisted Development - май 2026, стартира на 18 май 2026 г.;&bull;&nbsp;AI Integrations for Developers - юни 2026, стартира на 25 юни 2026 г.;&bull;&nbsp;AI Agent and Workflows for Developers - август 2026, стартира на 10 август 2026 г.Колко струва обучението в програмата? Онлайнлв. Онлайн обучение с видео уроци, достъпни по всяко времеДоживотен достъп до видео записите и учебните ресурси Помощ от ментор за усвояване на учебния материал Практически упражнения и проекти от реална бизнес средаЯвяване на изпити (редовни), сертификати и удостоверениеДостъп до 3 затворени Community групи с курсисти SoftUni ви дава 100% гаранция за качеството на тази Upskill програма. За нас е важно да придобиете необходимите умения и знания. Ако по някаква причина Upskill програмата не отговори на очакванията ви, ние ви гарантираме възстановяване на цялата сума, която сте заплатили. Таксата може да ви бъде възстановена до третото занятие на първия курс от Upskill програмата (до 26 май). Ще получа ли сертификат?Ще получите сертификат от СофтУни за всеки курс от модула, ако имате оценка ""Практика"" равна или по-висока от 5.00 след полагане на изпитите. Също така ще имате възможност да получите държавно признато ""Удостоверение за професионално обучение за достигане на отделна единица резултат от учене"" за целия модул, валидно на територията на Европейски съюз. Изискванията за получаване на удостоверение можете да разгледате ТУК. Освен това можете да получите и сертификат за завършена Upskill програма при наличие на всички сертификати за курсовете в съответната програма.",
AI in Action,"Изкуственият интелект не е просто поредният балон или hype в бизнеса, той вече е стандарт. От най-големите корпорации до малките семейни бизнеси, AI е навсякъде. Реалността е, че бизнесите, които не използват AI или поне не започнат да се подготвят за него, скоро ще са неконкурентно способни. Много собственици на бизнеси и дигитални специалисти все още възприемат AI като нещо от научнофантастичните филми, научен проект или инструмент за големите компании. Въпреки това техните конкуренти най-вероятно вече го използват. Затова ""AI in Action"" e първият по рода си пълен курс за адаптиране на изкуствен интелект в бизнеса. Обучението обхваща всички основни етапи на процеса, обяснени по нетехнически начин. Този курс не само ще помогне на записалите се да разберат как да демистифицират AI, но и ще им предостави инструментите и знанията как да внедряват AI стратегии ефективно. Курсистите ще научат как да идентифицират възможностите за внедряването му, да разработват решения и да управляват проекти с увереност.",12
